"Label (Grouping)","Median value (dollars)"
"Census Tract 275.01, Hennepin County, Minnesota",""
"    Estimate","773,900"
"Census Tract 275.03, Hennepin County, Minnesota",""
"    Estimate","541,700"
"Census Tract 275.04, Hennepin County, Minnesota",""
"    Estimate","504,300"
"Census Tract 276.01, Hennepin County, Minnesota",""
"    Estimate","265,100"
"Census Tract 276.02, Hennepin County, Minnesota",""
"    Estimate","247,200"
"Census Tract 277.01, Hennepin County, Minnesota",""
"    Estimate","554,600"
"Census Tract 277.02, Hennepin County, Minnesota",""
"    Estimate","270,900"
"Census Tract 277.03, Hennepin County, Minnesota",""
"    Estimate","476,000"
"Census Tract 1002, Hennepin County, Minnesota",""
"    Estimate","181,300"
"Census Tract 1004, Hennepin County, Minnesota",""
"    Estimate","147,200"
"Census Tract 1005, Hennepin County, Minnesota",""
"    Estimate","220,000"
"Census Tract 1007, Hennepin County, Minnesota",""
"    Estimate","179,400"
"Census Tract 1008, Hennepin County, Minnesota",""
"    Estimate","172,500"
"Census Tract 1009, Hennepin County, Minnesota",""
"    Estimate","129,600"
"Census Tract 1012, Hennepin County, Minnesota",""
"    Estimate","286,900"
"Census Tract 1013, Hennepin County, Minnesota",""
"    Estimate","140,500"
"Census Tract 1016, Hennepin County, Minnesota",""
"    Estimate","132,900"
"Census Tract 1018, Hennepin County, Minnesota",""
"    Estimate","236,300"
"Census Tract 1019, Hennepin County, Minnesota",""
"    Estimate","266,500"
"Census Tract 1020, Hennepin County, Minnesota",""
"    Estimate","161,800"
"Census Tract 1021, Hennepin County, Minnesota",""
"    Estimate","138,900"
"Census Tract 1025, Hennepin County, Minnesota",""
"    Estimate","274,300"
"Census Tract 1026, Hennepin County, Minnesota",""
"    Estimate","215,300"
"Census Tract 1028, Hennepin County, Minnesota",""
"    Estimate","186,500"
"Census Tract 1030, Hennepin County, Minnesota",""
"    Estimate","302,300"
"Census Tract 1031, Hennepin County, Minnesota",""
"    Estimate","272,000"
"Census Tract 1034, Hennepin County, Minnesota",""
"    Estimate","236,500"
"Census Tract 1036, Hennepin County, Minnesota",""
"    Estimate","439,700"
"Census Tract 1037, Hennepin County, Minnesota",""
"    Estimate","316,100"
"Census Tract 1039, Hennepin County, Minnesota",""
"    Estimate","330,000"
"Census Tract 1040.01, Hennepin County, Minnesota",""
"    Estimate","243,200"
"Census Tract 1040.02, Hennepin County, Minnesota",""
"    Estimate","212,700"
"Census Tract 1041, Hennepin County, Minnesota",""
"    Estimate","192,600"
"Census Tract 1044, Hennepin County, Minnesota",""
"    Estimate","173,200"
"Census Tract 1048.01, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 1048.02, Hennepin County, Minnesota",""
"    Estimate","139,200"
"Census Tract 1049.01, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 1049.02, Hennepin County, Minnesota",""
"    Estimate","503,900"
"Census Tract 1051, Hennepin County, Minnesota",""
"    Estimate","373,900"
"Census Tract 1052.01, Hennepin County, Minnesota",""
"    Estimate","301,400"
"Census Tract 1052.04, Hennepin County, Minnesota",""
"    Estimate","222,200"
"Census Tract 1054, Hennepin County, Minnesota",""
"    Estimate","421,800"
"Census Tract 1055, Hennepin County, Minnesota",""
"    Estimate","415,500"
"Census Tract 1056, Hennepin County, Minnesota",""
"    Estimate","187,500"
"Census Tract 1057, Hennepin County, Minnesota",""
"    Estimate","143,700"
"Census Tract 1060, Hennepin County, Minnesota",""
"    Estimate","257,300"
"Census Tract 1062, Hennepin County, Minnesota",""
"    Estimate","247,400"
"Census Tract 1064, Hennepin County, Minnesota",""
"    Estimate","279,700"
"Census Tract 1065, Hennepin County, Minnesota",""
"    Estimate","652,700"
"Census Tract 1066, Hennepin County, Minnesota",""
"    Estimate","468,500"
"Census Tract 1067, Hennepin County, Minnesota",""
"    Estimate","239,000"
"Census Tract 1069, Hennepin County, Minnesota",""
"    Estimate","276,100"
"Census Tract 1070, Hennepin County, Minnesota",""
"    Estimate","273,300"
"Census Tract 1074, Hennepin County, Minnesota",""
"    Estimate","226,000"
"Census Tract 1075, Hennepin County, Minnesota",""
"    Estimate","263,400"
"Census Tract 1076, Hennepin County, Minnesota",""
"    Estimate","267,600"
"Census Tract 1080, Hennepin County, Minnesota",""
"    Estimate","571,800"
"Census Tract 1086, Hennepin County, Minnesota",""
"    Estimate","245,700"
"Census Tract 1087, Hennepin County, Minnesota",""
"    Estimate","205,800"
"Census Tract 1088, Hennepin County, Minnesota",""
"    Estimate","235,600"
"Census Tract 1089, Hennepin County, Minnesota",""
"    Estimate","231,500"
"Census Tract 1090, Hennepin County, Minnesota",""
"    Estimate","312,500"
"Census Tract 1091, Hennepin County, Minnesota",""
"    Estimate","473,900"
"Census Tract 1092, Hennepin County, Minnesota",""
"    Estimate","283,900"
"Census Tract 1093, Hennepin County, Minnesota",""
"    Estimate","286,800"
"Census Tract 1094, Hennepin County, Minnesota",""
"    Estimate","199,200"
"Census Tract 1097, Hennepin County, Minnesota",""
"    Estimate","227,600"
"Census Tract 1098, Hennepin County, Minnesota",""
"    Estimate","530,200"
"Census Tract 1099, Hennepin County, Minnesota",""
"    Estimate","343,400"
"Census Tract 1100, Hennepin County, Minnesota",""
"    Estimate","224,400"
"Census Tract 1101, Hennepin County, Minnesota",""
"    Estimate","248,800"
"Census Tract 1102, Hennepin County, Minnesota",""
"    Estimate","241,700"
"Census Tract 1104, Hennepin County, Minnesota",""
"    Estimate","232,500"
"Census Tract 1105, Hennepin County, Minnesota",""
"    Estimate","271,700"
"Census Tract 1108, Hennepin County, Minnesota",""
"    Estimate","293,100"
"Census Tract 1109, Hennepin County, Minnesota",""
"    Estimate","251,000"
"Census Tract 1111, Hennepin County, Minnesota",""
"    Estimate","305,400"
"Census Tract 1112, Hennepin County, Minnesota",""
"    Estimate","403,700"
"Census Tract 1113, Hennepin County, Minnesota",""
"    Estimate","441,700"
"Census Tract 1114, Hennepin County, Minnesota",""
"    Estimate","494,300"
"Census Tract 1115, Hennepin County, Minnesota",""
"    Estimate","386,400"
"Census Tract 1116, Hennepin County, Minnesota",""
"    Estimate","358,300"
"Census Tract 1225, Hennepin County, Minnesota",""
"    Estimate","245,700"
"Census Tract 1226, Hennepin County, Minnesota",""
"    Estimate","275,700"
"Census Tract 1255, Hennepin County, Minnesota",""
"    Estimate","217,600"
"Census Tract 1256, Hennepin County, Minnesota",""
"    Estimate","379,100"
"Census Tract 1257, Hennepin County, Minnesota",""
"    Estimate","157,300"
"Census Tract 1258, Hennepin County, Minnesota",""
"    Estimate","189,200"
"Census Tract 1259, Hennepin County, Minnesota",""
"    Estimate","234,400"
"Census Tract 1260, Hennepin County, Minnesota",""
"    Estimate","211,300"
"Census Tract 1261.01, Hennepin County, Minnesota",""
"    Estimate","298,200"
"Census Tract 1261.02, Hennepin County, Minnesota",""
"    Estimate","516,000"
"Census Tract 1262.01, Hennepin County, Minnesota",""
"    Estimate","406,000"
"Census Tract 1262.02, Hennepin County, Minnesota",""
"    Estimate","294,900"
"Census Tract 1263, Hennepin County, Minnesota",""
"    Estimate","204,500"
"Census Tract 9800, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 9801, Hennepin County, Minnesota",""
"    Estimate","-"
