"Label (Grouping)","Median household income in the past 12 months (in 2022 inflation-adjusted dollars)"
"Census Tract 1018; Hennepin County; Minnesota",""
"    Estimate","67,572"
"Census Tract 1019; Hennepin County; Minnesota",""
"    Estimate","58,850"
"Census Tract 1020; Hennepin County; Minnesota",""
"    Estimate","59,318"
"Census Tract 1021; Hennepin County; Minnesota",""
"    Estimate","43,828"
"Census Tract 1025; Hennepin County; Minnesota",""
"    Estimate","61,369"
"Census Tract 1026; Hennepin County; Minnesota",""
"    Estimate","74,688"
"Census Tract 1028; Hennepin County; Minnesota",""
"    Estimate","53,173"
"Census Tract 1030; Hennepin County; Minnesota",""
"    Estimate","76,765"
"Census Tract 1031; Hennepin County; Minnesota",""
"    Estimate","78,636"
"Census Tract 1034; Hennepin County; Minnesota",""
"    Estimate","49,047"
"Census Tract 1036; Hennepin County; Minnesota",""
"    Estimate","102,202"
"Census Tract 1037; Hennepin County; Minnesota",""
"    Estimate","63,537"
"Census Tract 1039; Hennepin County; Minnesota",""
"    Estimate","25,201"
"Census Tract 1040.01; Hennepin County; Minnesota",""
"    Estimate","62,784"
"Census Tract 1040.02; Hennepin County; Minnesota",""
"    Estimate","80,388"
"Census Tract 1041; Hennepin County; Minnesota",""
"    Estimate","56,691"
"Census Tract 1044; Hennepin County; Minnesota",""
"    Estimate","68,272"
"Census Tract 1048.01; Hennepin County; Minnesota",""
"    Estimate","18,170"
"Census Tract 1048.02; Hennepin County; Minnesota",""
"    Estimate","33,438"
"Census Tract 1049.01; Hennepin County; Minnesota",""
"    Estimate","16,583"
"Census Tract 1049.02; Hennepin County; Minnesota",""
"    Estimate","34,853"
"Census Tract 1051; Hennepin County; Minnesota",""
"    Estimate","117,500"
"Census Tract 1052.01; Hennepin County; Minnesota",""
"    Estimate","77,995"
"Census Tract 1052.04; Hennepin County; Minnesota",""
"    Estimate","53,516"
"Census Tract 1054; Hennepin County; Minnesota",""
"    Estimate","58,862"
"Census Tract 1055; Hennepin County; Minnesota",""
"    Estimate","82,340"
"Census Tract 1056; Hennepin County; Minnesota",""
"    Estimate","40,000"
"Census Tract 1057; Hennepin County; Minnesota",""
"    Estimate","54,893"
"Census Tract 1060; Hennepin County; Minnesota",""
"    Estimate","26,960"
"Census Tract 1062; Hennepin County; Minnesota",""
"    Estimate","46,750"
"Census Tract 1064; Hennepin County; Minnesota",""
"    Estimate","66,193"
"Census Tract 1065; Hennepin County; Minnesota",""
"    Estimate","141,250"
"Census Tract 1066; Hennepin County; Minnesota",""
"    Estimate","90,750"
"Census Tract 1067; Hennepin County; Minnesota",""
"    Estimate","57,522"
"Census Tract 1069; Hennepin County; Minnesota",""
"    Estimate","35,417"
"Census Tract 1070; Hennepin County; Minnesota",""
"    Estimate","54,842"
"Census Tract 1074; Hennepin County; Minnesota",""
"    Estimate","63,640"
"Census Tract 1075; Hennepin County; Minnesota",""
"    Estimate","100,069"
"Census Tract 1076; Hennepin County; Minnesota",""
"    Estimate","109,926"
"Census Tract 1080; Hennepin County; Minnesota",""
"    Estimate","112,308"
"Census Tract 1086; Hennepin County; Minnesota",""
"    Estimate","66,926"
"Census Tract 1087; Hennepin County; Minnesota",""
"    Estimate","82,120"
"Census Tract 1088; Hennepin County; Minnesota",""
"    Estimate","67,609"
"Census Tract 1089; Hennepin County; Minnesota",""
"    Estimate","89,536"
"Census Tract 1090; Hennepin County; Minnesota",""
"    Estimate","138,676"
"Census Tract 1091; Hennepin County; Minnesota",""
"    Estimate","87,330"
"Census Tract 1092; Hennepin County; Minnesota",""
"    Estimate","73,716"
"Census Tract 1093; Hennepin County; Minnesota",""
"    Estimate","88,850"
"Census Tract 1094; Hennepin County; Minnesota",""
"    Estimate","85,875"
"Census Tract 1097; Hennepin County; Minnesota",""
"    Estimate","89,611"
"Census Tract 1098; Hennepin County; Minnesota",""
"    Estimate","119,345"
"Census Tract 1099; Hennepin County; Minnesota",""
"    Estimate","99,250"
"Census Tract 1100; Hennepin County; Minnesota",""
"    Estimate","82,438"
"Census Tract 1101; Hennepin County; Minnesota",""
"    Estimate","96,406"
"Census Tract 1102; Hennepin County; Minnesota",""
"    Estimate","89,806"
"Census Tract 1104; Hennepin County; Minnesota",""
"    Estimate","71,078"
"Census Tract 1105; Hennepin County; Minnesota",""
"    Estimate","88,850"
"Census Tract 1108; Hennepin County; Minnesota",""
"    Estimate","103,056"
"Census Tract 1109; Hennepin County; Minnesota",""
"    Estimate","112,094"
"Census Tract 1111; Hennepin County; Minnesota",""
"    Estimate","117,656"
"Census Tract 1112; Hennepin County; Minnesota",""
"    Estimate","163,333"
"Census Tract 1113; Hennepin County; Minnesota",""
"    Estimate","172,875"
"Census Tract 1114; Hennepin County; Minnesota",""
"    Estimate","194,148"
"Census Tract 1115; Hennepin County; Minnesota",""
"    Estimate","154,375"
"Census Tract 1116; Hennepin County; Minnesota",""
"    Estimate","140,119"
"Census Tract 1225; Hennepin County; Minnesota",""
"    Estimate","107,526"
"Census Tract 1226; Hennepin County; Minnesota",""
"    Estimate","114,286"
"Census Tract 1255; Hennepin County; Minnesota",""
"    Estimate","70,685"
"Census Tract 1256; Hennepin County; Minnesota",""
"    Estimate","60,116"
"Census Tract 1257; Hennepin County; Minnesota",""
"    Estimate","55,820"
"Census Tract 1258; Hennepin County; Minnesota",""
"    Estimate","52,813"
"Census Tract 1259; Hennepin County; Minnesota",""
"    Estimate","61,149"
