"Label (Grouping)","Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"Census Tract 1005, Hennepin County, Minnesota",""
"    Estimate","43,913"
"Census Tract 1007, Hennepin County, Minnesota",""
"    Estimate","49,744"
"Census Tract 1008, Hennepin County, Minnesota",""
"    Estimate","39,432"
"Census Tract 1009, Hennepin County, Minnesota",""
"    Estimate","42,556"
"Census Tract 1012, Hennepin County, Minnesota",""
"    Estimate","70,703"
"Census Tract 1013, Hennepin County, Minnesota",""
"    Estimate","33,750"
"Census Tract 1016, Hennepin County, Minnesota",""
"    Estimate","19,922"
"Census Tract 1018, Hennepin County, Minnesota",""
"    Estimate","44,233"
"Census Tract 1019, Hennepin County, Minnesota",""
"    Estimate","52,625"
"Census Tract 1020, Hennepin County, Minnesota",""
"    Estimate","50,500"
"Census Tract 1021, Hennepin County, Minnesota",""
"    Estimate","36,719"
"Census Tract 1023, Hennepin County, Minnesota",""
"    Estimate","21,599"
"Census Tract 1025, Hennepin County, Minnesota",""
"    Estimate","50,987"
"Census Tract 1026, Hennepin County, Minnesota",""
"    Estimate","50,208"
"Census Tract 1028, Hennepin County, Minnesota",""
"    Estimate","26,406"
"Census Tract 1029, Hennepin County, Minnesota",""
"    Estimate","43,631"
"Census Tract 1030, Hennepin County, Minnesota",""
"    Estimate","57,895"
"Census Tract 1031, Hennepin County, Minnesota",""
"    Estimate","30,245"
"Census Tract 1034, Hennepin County, Minnesota",""
"    Estimate","18,854"
"Census Tract 1036, Hennepin County, Minnesota",""
"    Estimate","83,520"
"Census Tract 1037, Hennepin County, Minnesota",""
"    Estimate","31,605"
"Census Tract 1039, Hennepin County, Minnesota",""
"    Estimate","16,576"
"Census Tract 1040, Hennepin County, Minnesota",""
"    Estimate","38,875"
"Census Tract 1041, Hennepin County, Minnesota",""
"    Estimate","32,013"
"Census Tract 1044, Hennepin County, Minnesota",""
"    Estimate","59,150"
"Census Tract 1048, Hennepin County, Minnesota",""
"    Estimate","18,892"
"Census Tract 1049, Hennepin County, Minnesota",""
"    Estimate","20,492"
"Census Tract 1051, Hennepin County, Minnesota",""
"    Estimate","101,250"
"Census Tract 1052.01, Hennepin County, Minnesota",""
"    Estimate","56,667"
"Census Tract 1052.04, Hennepin County, Minnesota",""
"    Estimate","18,271"
"Census Tract 1054, Hennepin County, Minnesota",""
"    Estimate","44,659"
"Census Tract 1055, Hennepin County, Minnesota",""
"    Estimate","75,645"
"Census Tract 1056, Hennepin County, Minnesota",""
"    Estimate","33,824"
"Census Tract 1057, Hennepin County, Minnesota",""
"    Estimate","21,732"
"Census Tract 1060, Hennepin County, Minnesota",""
"    Estimate","11,973"
"Census Tract 1062, Hennepin County, Minnesota",""
"    Estimate","19,803"
"Census Tract 1064, Hennepin County, Minnesota",""
"    Estimate","27,609"
"Census Tract 1065, Hennepin County, Minnesota",""
"    Estimate","118,750"
"Census Tract 1066, Hennepin County, Minnesota",""
"    Estimate","87,333"
"Census Tract 1067, Hennepin County, Minnesota",""
"    Estimate","51,123"
"Census Tract 1069, Hennepin County, Minnesota",""
"    Estimate","40,089"
"Census Tract 1070, Hennepin County, Minnesota",""
"    Estimate","35,877"
"Census Tract 1074, Hennepin County, Minnesota",""
"    Estimate","45,313"
"Census Tract 1075, Hennepin County, Minnesota",""
"    Estimate","65,000"
"Census Tract 1076, Hennepin County, Minnesota",""
"    Estimate","72,774"
"Census Tract 1080, Hennepin County, Minnesota",""
"    Estimate","72,568"
"Census Tract 1086, Hennepin County, Minnesota",""
"    Estimate","45,037"
"Census Tract 1087, Hennepin County, Minnesota",""
"    Estimate","61,594"
"Census Tract 1088, Hennepin County, Minnesota",""
"    Estimate","41,420"
"Census Tract 1089, Hennepin County, Minnesota",""
"    Estimate","77,267"
"Census Tract 1090, Hennepin County, Minnesota",""
"    Estimate","76,705"
"Census Tract 1091, Hennepin County, Minnesota",""
"    Estimate","72,500"
"Census Tract 1092, Hennepin County, Minnesota",""
"    Estimate","47,056"
"Census Tract 1093, Hennepin County, Minnesota",""
"    Estimate","51,144"
"Census Tract 1094, Hennepin County, Minnesota",""
"    Estimate","40,000"
"Census Tract 1097, Hennepin County, Minnesota",""
"    Estimate","61,458"
"Census Tract 1098, Hennepin County, Minnesota",""
"    Estimate","106,429"
"Census Tract 1099, Hennepin County, Minnesota",""
"    Estimate","81,648"
"Census Tract 1100, Hennepin County, Minnesota",""
